username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Laure Rawlings,1551033783394205697,深圳,2023-01-19 22:24:50,Did the flaky attention really cycle the football? 🔥 #电报买粉 #买ig赞 #ins漲粉絲 https://t.co/BgGf8CaIbB,0,Twitter Web App,
Laure Rawlings,1551033783394205697,深圳,2023-01-19 20:58:57,What if the trusting meeting ate the football? 🌷 #推特刷粉 #ins刷粉平台 #tiktok粉丝 https://t.co/U3QIUn0OqB,0,Twitter Web App,
peko314,1005102287239372802,Hong Kong,2023-01-19 20:54:18,@0mcfc0 @ErlingRoIe This guy don’t know football. It definitely Ederson fault. He has many options to pass.Why the… https://t.co/uVQ5UoHNTC,0,Twitter for iPhone,
4x MVP Account,1917930846,City of Dreams,2023-01-19 19:07:23,"@RobGregoryGC People care more about football, not hard to understand",0,Twitter for iPhone,
Angelo Giuliano 🇮🇹 🇨🇭/ living in 🇨🇳,1284037838066061313,Hong Kong,2023-01-19 17:37:41,"Enjoy every single day because there WILL be WAR.

One thing I can predict is : everybody will ask ""how did we get… https://t.co/qMFvyOAzTP",514,Twitter Web App,
Chester Chiu,984416762933346304,Hong Kong,2023-01-19 15:38:36,"@Mr60186166 @Sweet_and_Tangy @carlogarganese Is non sense , French club always go to former Africa colonies to find… https://t.co/Wi7I14x1vc",0,Twitter for iPhone,
Umesh Desai  巫瑪仕,44511405,Hong Kong,2023-01-19 14:40:42,"Landmark change is coming - Rugby Football Union (RFU) has announced that from 1st July 2023, it will now be illega… https://t.co/c26lfiPxIc",0,Twitter Web App,
John Perry,713731919222083584,HONG KONG,2023-01-19 10:53:54,@soupvag the nation of human head football,0,Twitter for Android,
Laure Rawlings,1551033783394205697,深圳,2023-01-19 10:42:42,The straight beach types into the mountainous football. 💖 #推特增粉 #增followers #ins推广增粉顺利顺利营业 https://t.co/tnx6e7vIZd,0,Twitter Web App,
小瑞,1267415502197886978,澳門,2023-01-19 09:50:06,"@myakunasiobake1 I actually have four pairs of football boots, but they are all rotten.😂",0,Twitter for Android,
Cotswolds Gunner,1293883413330616320,Cotswolds,2023-01-19 09:40:14,@RossGoonerTV Good signing. Plays the right football for our system. Gives us much needed depth and is ready to play. No complaints at all,0,Twitter for iPhone,
小瑞,1267415502197886978,澳門,2023-01-19 09:22:29,@myakunasiobake1 There are few football shoes sold in Macao.😭,0,Twitter for Android,
Judith Gunn,18387990,Cotswolds,2023-01-19 08:03:15,@JonathanPieNews Except it’s like not liking football or not going to the pub - if you’re not one of the gang it af… https://t.co/GdMDWp9hsK,0,Twitter for iPhone,
Laure Rawlings,1551033783394205697,深圳,2023-01-19 07:08:13,What if the sugary permission ate the football? ☘ #facebook增粉 #tiktok涨粉 #ins华人粉 https://t.co/bdcMDNtijF,0,Twitter Web App,
Matthew Lai,233638464,Hong Kong,2023-01-19 06:24:30,"@ToonMouthTyne HA, it's people like you who have no idea what football is",0,Twitter for Android,
jo,818366844172058624,Hong Kong,2023-01-19 02:26:44,"may be maybe time to #retire, spare some time and physical fitness with the baby boy, #Nadal needs playing football… https://t.co/sur9Nrodm8",0,Twitter for iPhone,
Nikkie,3084195836,Hong Kong,2023-01-18 17:42:51,@buchi_mana Mana we will always love you!! You need your game time!! You need to play football and that is okay!! I… https://t.co/O6EGvHO9Lj,0,Twitter for iPhone,
BeeBeeStyle,3403102645,Hong Kong,2023-01-18 17:12:04,Apple Watch Band Samsung Watch Band Fitbit Watch https://t.co/z4tvoNRzaj #worldcup2018 #applewatch #watchband… https://t.co/wJQukG5amK,0,EtsyMarketingTool,
Hongkonger Gonner,258842647,Hong Kong,2023-01-18 16:51:05,@terryflewers lol You should re-study football again.,0,Twitter Web App,
Keri,41440370,Victoria,2023-01-18 16:13:55,"if Conte leaves, all I want is a long term manager.  Don’t know enough about football to have an opinion on who’s t… https://t.co/MYZut1HNQ1",0,Twitter for iPhone,
Sunny Lee 😷,2547867536,Hong Kong,2023-01-18 15:56:27,"8. Gabe Lee - Kinda Man
Heartland Rock is the path for every outstanding alternative country/American root artist.… https://t.co/pVjr2I52xS",0,Twitter Web App,
Laure Rawlings,1551033783394205697,深圳,2023-01-18 14:56:04,"What if the well
groomed spot ate the football? 🎍 #tiktok增赞 #instagram推广 #ins卖粉丝 https://t.co/vMedpYo3ox",0,Twitter Web App,
Thomas Yates,256105218,Shenzhen,2023-01-18 14:22:06,@Utd2splashy @SJH1440 @markgoldbridge @talkSPORT @ga11agbon Tbh I barely even regard that corporation as a football… https://t.co/wUIPeVSDPB,0,Twitter for iPad,
Laure Rawlings,1551033783394205697,深圳,2023-01-18 11:10:01,Is the bare football better than the imagination? 💝 #推特刷粉 #粉丝 #加菲猫 https://t.co/4ctY6Uhrnp,0,Twitter Web App,
Everton Hong Kong.,891259928085643264,Hong Kong,2023-01-18 11:01:01,@LythyNo2 @sturdy8 Restoration of the tower sounds costly enough. Up hill battle the Bramley Moore site.....but I g… https://t.co/7Fed1bPa4k,0,Twitter for Android,
Eagle Partners,1603716934050217984,Hong Kong,2023-01-18 08:21:25,"Watching football taught me 4 things about running a business

https://t.co/c9dYBnXAoo https://t.co/TtaD8J6nwq",0,Twitter Web App,
allan callahan,1603208447637405696,Victoria,2023-01-18 07:16:41,@MichaelCWillson @Martin_Flanagan Onto the next stage in her football life which I am confident she will approach w… https://t.co/nC90h5L1cF,0,Twitter Web App,
South China Morning Post,23922797,Hong Kong,2023-01-18 07:05:57,Manchester United: Jim Ratcliffe’s Ineos declares interest in buying Premier League giants https://t.co/DmMZlieanM,0,Echobox,
ActivistBowen: #PFIZER X 4,313536147,Hong Kong,2023-01-18 04:08:44,",...surely, this will have an impact on RECRUITING (January 18, 2023; 11:26 HKT) #COLLEGEFOOTBALL #MICHIGAN #FOOTBALL",0,Twitter Web App,
HereToShitPost,4560855319,Hong Kong,2023-01-18 00:26:41,@PeterZeihan Are they cancelling football? (The kind the rest of the world plays),0,Twitter for Android,
